unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783457484,1893,3,viewer,Paused,0,5,6,0,1.1,62
1783457484,1893,4,viewer,Syncing,20,5,6,0,5.3,66
1783457484,1893,5,viewer,Syncing,19,5,6,0,3.5,66
1783457517,1938,0,master,Healthy,100,6,6,0,7.2,81
1783457519,1938,1,master,Syncing,21,6,6,0,4.7,79
1783457525,1938,2,master,Syncing,9,5,6,0,7.2,81
1783457525,1938,3,viewer,Paused,0,5,6,0,2.6,62
1783457526,1938,4,viewer,Syncing,20,5,6,0,10.9,83
1783457535,1938,5,viewer,Syncing,20,6,6,0,8.6,74
1783457565,1989,0,master,Healthy,100,6,6,0,2.9,82
1783457565,1989,1,master,Syncing,21,6,6,0,4.6,70
1783457565,1989,2,master,Syncing,9,6,6,0,4.6,79
1783457565,1989,3,viewer,Paused,0,6,6,0,1.9,62
1783457571,1989,4,viewer,Syncing,20,6,6,0,5.1,68
1783457571,1989,5,viewer,Syncing,20,6,6,0,3.9,69
1783457601,2025,0,master,Healthy,100,5,6,0,6.5,83
1783457601,2025,1,master,Syncing,21,5,6,0,7.4,71
1783457601,2025,2,master,Syncing,9,5,6,0,6.1,70
1783457601,2025,3,viewer,Paused,0,5,6,0,1.1,62
1783457601,2025,4,viewer,Syncing,20,5,6,0,6.3,70
1783457602,2025,5,viewer,Syncing,20,6,6,0,5.7,65
1783457632,2056,0,master,Healthy,100,4,6,0,11.2,83
1783457634,2056,1,master,Syncing,21,6,6,0,6.0,69
1783457634,2056,2,master,Syncing,10,6,6,0,6.1,73
1783457634,2056,3,viewer,Paused,0,6,6,0,1.4,62
1783457636,2056,4,viewer,Syncing,21,6,6,0,8.9,68
1783457636,2056,5,viewer,Syncing,20,6,6,0,8.1,68
1783457667,2090,0,master,Healthy,100,6,6,0,12.1,83
1783457667,2090,1,master,Syncing,21,6,6,0,9.4,74
1783457667,2090,2,master,Syncing,10,6,6,0,6.3,79
1783457667,2090,3,viewer,Paused,0,6,6,0,1.5,63
1783457667,2090,4,viewer,Syncing,21,6,6,0,7.0,70
1783457667,2090,5,viewer,Syncing,20,6,6,0,7.6,76
1783457697,2120,0,master,Healthy,100,6,6,0,5.9,83
1783457697,2120,1,master,Syncing,21,6,6,0,2.4,69
1783457697,2120,2,master,Syncing,10,6,6,0,1.9,79
1783457697,2120,3,viewer,Paused,0,6,6,0,1.3,63
1783457697,2120,4,viewer,Syncing,21,6,6,0,2.2,70
1783457697,2120,5,viewer,Syncing,21,6,6,0,3.2,70
1783457727,2151,0,master,Healthy,100,6,6,0,4.3,83
1783457738,2151,1,master,Syncing,22,6,6,0,5.0,70
1783457738,2151,2,master,Syncing,10,5,6,0,4.8,77
1783457738,2151,3,viewer,Paused,0,5,6,0,0.8,63
1783457744,2151,4,viewer,Syncing,21,6,6,0,7.6,71
1783457751,2151,5,viewer,Syncing,21,6,6,0,4.3,73
1783457781,2204,0,master,Healthy,100,6,6,0,5.4,84
1783457794,2204,1,master,Syncing,22,6,6,0,4.9,68
1783457809,2204,3,viewer,Paused,0,5,6,0,1.7,63
1783457809,2204,4,viewer,Syncing,21,5,6,0,7.2,69
1783457855,2278,0,master,Healthy,100,6,6,0,6.9,84
1783457855,2278,1,master,Syncing,22,6,6,0,7.0,75
1783457855,2278,2,master,Syncing,10,6,6,0,3.7,67
1783457855,2278,3,viewer,Paused,0,6,6,0,1.1,63
1783457855,2278,4,viewer,Syncing,22,6,6,0,8.4,76
1783457855,2278,5,viewer,Syncing,21,6,6,0,5.7,75
1783457887,2309,0,master,Healthy,100,6,6,0,5.2,84
1783457887,2309,1,master,Syncing,22,6,6,0,3.5,75
1783457887,2309,2,master,Syncing,10,6,6,0,8.1,76
1783457887,2309,3,viewer,Paused,0,6,6,0,1.9,63
1783457887,2309,4,viewer,Syncing,22,6,6,0,9.8,72
1783457933,2356,0,master,Healthy,100,5,6,0,2.5,84
1783457933,2356,1,master,Syncing,22,5,6,0,5.1,74
1783457948,2356,3,viewer,Paused,0,5,6,0,1.6,63
1783457956,2356,4,viewer,Syncing,23,5,6,0,5.4,72
1783457956,2356,5,viewer,Syncing,22,4,6,0,7.1,72
